operator,technology,enb_id,sector_id,cell_id,pci,channel_number,longitude,latitude,height_m,azimuth_deg
B,LTE,111320,100,28498020,423,525,16.33142577169278,48.1867332079591,27,360.0
B,LTE,111330,101,28500581,477,525,16.32950337698042,48.19338668116537,24,165.0
B,LTE,111330,11,28500491,465,1525,16.32950337698042,48.19338668116537,24,165.0
B,LTE,111330,102,28500582,211,525,16.32950337698042,48.19338668116537,24,
B,LTE,111320,2,28497922,437,3350,16.33142577169278,48.1867332079591,27,260.0
B,LTE,112181,101,28718437,23,525,16.317016794503424,48.19419510014859,30,205.0
B,LTE,112458,70,28789318,420,3632,16.30099983295208,48.18808074079175,31,15.0
B,LTE,111235,105,28476265,22,525,16.3248321374927,48.187140466061805,28,10.0
B,LTE,111235,100,28476260,396,525,16.3248321374927,48.187140466061805,28,35.0
B,LTE,111235,101,28476261,377,525,16.3248321374927,48.187140466061805,28,110.0
B,LTE,111235,10,28476170,276,1525,16.3248321374927,48.187140466061805,28,35.0
B,LTE,111235,104,28476264,368,525,16.3248321374927,48.187140466061805,28,300.0
B,LTE,111235,103,28476263,157,525,16.3248321374927,48.187140466061805,28,225.0
B,LTE,111235,15,28476175,448,1525,16.3248321374927,48.187140466061805,28,10.0
B,LTE,111235,13,28476173,139,1525,16.3248321374927,48.187140466061805,28,225.0
B,LTE,111235,12,28476172,9,1525,16.3248321374927,48.187140466061805,28,175.0
B,LTE,111235,74,28476234,446,3632,16.3248321374927,48.187140466061805,28,300.0
B,LTE,111235,11,28476171,11,1525,16.3248321374927,48.187140466061805,28,110.0
B,LTE,111320,12,28497932,152,1525,16.33142577169278,48.1867332079591,27,260.0
B,LTE,111320,10,28497930,402,1525,16.33142577169278,48.1867332079591,27,360.0
B,LTE,111320,11,28497931,484,1525,16.33142577169278,48.1867332079591,27,140.0
B,LTE,112282,0,28744192,477,3350,16.27684413490838,48.19184765571068,41,50.0
B,LTE,112282,103,28744295,142,525,16.27684413490838,48.19184765571068,41,290.0
B,LTE,112282,13,28744205,380,1525,16.27684413490838,48.19184765571068,41,290.0
B,LTE,112282,102,28744294,33,525,16.27684413490838,48.19184765571068,41,225.0
B,LTE,112282,12,28744204,453,1525,16.27684413490838,48.19184765571068,41,225.0
B,LTE,112394,100,28772964,49,525,16.27276578350947,48.18741596236146,27,25.0
B,LTE,112394,70,28772934,417,3632,16.27276578350947,48.18741596236146,27,25.0
B,LTE,112394,10,28772874,163,1525,16.27276578350947,48.18741596236146,27,25.0
B,LTE,112394,0,28772864,322,3350,16.27276578350947,48.18741596236146,27,25.0
B,LTE,112509,0,28802304,382,3350,16.26768131899005,48.18756568798704,18,15.0
B,LTE,112394,11,28772875,306,1525,16.27276578350947,48.18741596236146,27,145.0
B,LTE,112509,100,28802404,431,525,16.26768131899005,48.18756568798704,18,15.0
B,LTE,112394,101,28772965,273,525,16.27276578350947,48.18741596236146,27,145.0
B,LTE,112394,1,28772865,503,3350,16.27276578350947,48.18741596236146,27,145.0
B,LTE,112250,102,28736102,256,525,16.2882347727364,48.18646369714756,26,230.0
B,LTE,112250,12,28736012,142,1525,16.2882347727364,48.18646369714756,26,230.0
B,LTE,112250,100,28736100,377,525,16.2882347727364,48.18646369714756,26,330.0
B,LTE,112394,71,28772935,382,3632,16.27276578350947,48.18741596236146,27,145.0
B,LTE,112113,2,28700930,101,3350,16.288055109679128,48.190278640535794,52,230.0
B,LTE,112255,11,28737291,150,1525,16.281416559714817,48.18405600429928,23,100.0
B,LTE,112255,100,28737380,46,525,16.281416559714817,48.18405600429928,23,345.0
B,LTE,112113,102,28701030,391,525,16.288055109679128,48.190278640535794,52,230.0
B,LTE,112282,101,28744293,317,525,16.27684413490838,48.19184765571068,41,145.0
B,LTE,112282,11,28744203,421,1525,16.27684413490838,48.19184765571068,41,145.0
B,LTE,112113,12,28700940,274,1525,16.288055109679128,48.190278640535794,52,230.0
B,LTE,112250,10,28736010,38,1525,16.2882347727364,48.18646369714756,26,330.0
B,LTE,112458,13,28789261,336,1525,16.30099983295208,48.18808074079175,31,290.0
B,LTE,112324,3,28754947,97,3350,16.275532594591056,48.160416278882174,20,340.0
B,LTE,112427,102,28781414,178,525,16.28730950799204,48.15988896361069,38,245.0
B,LTE,112427,100,28781412,410,525,16.28730950799204,48.15988896361069,38,60.0
B,LTE,112427,12,28781324,376,1525,16.28730950799204,48.15988896361069,38,245.0
B,LTE,112324,100,28755044,199,525,16.275532594591056,48.160416278882174,20,45.0
B,LTE,112324,10,28754954,211,1525,16.275532594591056,48.160416278882174,20,45.0
B,LTE,112324,1,28754945,308,3350,16.275532594591056,48.160416278882174,20,125.0
B,LTE,112324,2,28754946,474,3350,16.275532594591056,48.160416278882174,20,250.0
B,LTE,112324,72,28755016,119,3632,16.275532594591056,48.160416278882174,20,250.0
B,LTE,112324,101,28755045,252,525,16.275532594591056,48.160416278882174,20,125.0
B,LTE,112427,11,28781323,312,1525,16.28730950799204,48.15988896361069,38,140.0
B,LTE,112427,101,28781413,24,525,16.28730950799204,48.15988896361069,38,140.0
B,LTE,111201,11,28467467,30,1525,16.29524163196756,48.22555789350962,28,215.0
B,LTE,111120,100,28446820,217,525,16.310827402181673,48.225545924355586,34,75.0
B,LTE,112113,102,28701030,403,525,16.288055109679128,48.190278640535794,52,230.0
C,LTE,17369,33,4446497,319,325,16.377284767048675,48.198620219520066,36,235.0
C,LTE,17221,33,4408609,34,325,16.37067316654297,48.192147080615726,33,30.0
C,LTE,17369,11,4446475,246,1300,16.377284767048675,48.198620219520066,36,265.0
C,LTE,17369,13,4446477,247,1300,16.377284767048675,48.198620219520066,36,235.0
C,LTE,17221,3,4408579,118,3050,16.37067316654297,48.192147080615726,33,30.0
C,LTE,17369,3,4446467,101,3050,16.377284767048675,48.198620219520066,36,235.0
C,LTE,17369,43,4446507,75,3500,16.377284767048675,48.198620219520066,36,235.0
C,LTE,17221,43,4408619,5,3500,16.37067316654297,48.192147080615726,33,30.0
C,LTE,17221,23,4408599,41,6400,16.37067316654297,48.192147080615726,33,30.0
C,LTE,17225,11,4409611,18,1300,16.364358010081634,48.189506092503926,30,5.0
C,LTE,17221,13,4408589,244,1300,16.37067316654297,48.192147080615726,33,30.0
C,LTE,17221,32,4408608,35,325,16.37067316654297,48.192147080615726,33,175.0
C,LTE,17221,42,4408618,3,3500,16.37067316654297,48.192147080615726,33,175.0
C,LTE,17221,22,4408598,40,6400,16.37067316654297,48.192147080615726,33,175.0
C,LTE,17221,12,4408588,245,1300,16.37067316654297,48.192147080615726,33,175.0
C,LTE,17221,2,4408578,119,3050,16.37067316654297,48.192147080615726,33,175.0
C,LTE,17225,12,4409612,20,1300,16.364358010081634,48.189506092503926,30,80.0
C,LTE,17225,42,4409642,136,3500,16.364358010081634,48.189506092503926,30,80.0
C,LTE,17225,22,4409622,398,6400,16.364358010081634,48.189506092503926,30,80.0
C,LTE,17225,2,4409602,218,3050,16.364358010081634,48.189506092503926,30,80.0
C,LTE,17225,31,4409631,161,325,16.364358010081634,48.189506092503926,30,5.0
C,LTE,17225,1,4409601,216,3050,16.364358010081634,48.189506092503926,30,5.0
C,LTE,17225,41,4409641,135,3500,16.364358010081634,48.189506092503926,30,5.0
C,LTE,17225,21,4409621,396,6400,16.364358010081634,48.189506092503926,30,5.0
C,LTE,17369,32,4446496,320,325,16.377284767048675,48.198620219520066,36,220.0
C,LTE,17369,31,4446495,318,325,16.377284767048675,48.198620219520066,36,265.0
C,LTE,17369,1,4446465,99,3050,16.377284767048675,48.198620219520066,36,265.0
C,LTE,17369,41,4446505,77,3500,16.377284767048675,48.198620219520066,36,265.0
C,LTE,17369,12,4446476,248,1300,16.377284767048675,48.198620219520066,36,220.0
C,LTE,17369,2,4446466,100,3050,16.377284767048675,48.198620219520066,36,220.0
